Date,Holiday
1/1/2006,New Year's Day
2/14/2006,Valentine's Day
4/16/2006,Easter
5/29/2006,Memorial Day
7/4/2006,4th of July
9/4/2006,Labor Day
11/23/2006,Thanksgiving Day
12/24/2006,Christmas Eve
12/25/2006,Christmas Day
12/31/2006,New Year
1/1/2007,New Year's Day
2/14/2007,Valentine's Day
4/8/2007,Easter
5/28/2007,Memorial Day
7/4/2007,4th of July
9/3/2007,Labor Day
11/22/2007,Thanksgiving Day
12/24/2007,Christmas Eve
12/25/2007,Christmas Day
12/31/2007,New Year
1/1/2008,New Year's Day
2/14/2008,Valentine's Day
3/23/2008,Easter
5/26/2008,Memorial Day
7/4/2008,4th of July
9/1/2008,Labor Day
11/27/2008,Thanksgiving Day
12/24/2008,Christmas Eve
12/25/2008,Christmas Day
12/31/2008,New Year
1/1/2009,New Year's Day
2/14/2009,Valentine's Day
4/12/2009,Easter
5/25/2009,Memorial Day
7/4/2009,4th of July
9/7/2009,Labor Day
11/26/2009,Thanksgiving Day
12/24/2009,Christmas Eve
12/25/2009,Christmas Day
12/31/2009,New Year
1/1/2010,New Year's Day
2/14/2010,Valentine's Day
4/4/2010,Easter
5/31/2010,Memorial Day
7/4/2010,4th of July
9/6/2010,Labor Day
11/25/2010,Thanksgiving Day
12/24/2010,Christmas Eve
12/25/2010,Christmas Day
12/31/2010,New Year
1/1/2011,New Year's Day
2/14/2011,Valentine's Day
4/24/2011,Easter
5/30/2011,Memorial Day
7/4/2011,4th of July
9/5/2011,Labor Day
11/24/2011,Thanksgiving Day
12/24/2011,Christmas Eve
12/25/2011,Christmas Day
12/31/2011,New Year
1/1/2012,New Year's Day
2/14/2012,Valentine's Day
4/8/2012,Easter
5/28/2012,Memorial Day
7/4/2012,4th of July
9/3/2012,Labor Day
11/22/2012,Thanksgiving Day
12/24/2012,Christmas Eve
12/25/2012,Christmas Day
12/31/2012,New Year
1/1/2013,New Year's Day
2/14/2013,Valentine's Day
3/31/2013,Easter
5/27/2013,Memorial Day
7/4/2013,4th of July
9/2/2013,Labor Day
11/28/2013,Thanksgiving Day
12/24/2013,Christmas Eve
12/25/2013,Christmas Day
12/31/2013,New Year
1/1/2014,New Year's Day
2/14/2014,Valentine's Day
4/20/2014,Easter
5/26/2014,Memorial Day
7/4/2014,4th of July
9/1/2014,Labor Day
11/27/2014,Thanksgiving Day
12/24/2014,Christmas Eve
12/25/2014,Christmas Day
12/31/2014,New Year
1/1/2015,New Year's Day
2/14/2015,Valentine's Day
4/5/2015,Easter
5/25/2015,Memorial Day
7/4/2015,4th of July
9/7/2015,Labor Day
11/26/2015,Thanksgiving Day
12/24/2015,Christmas Eve
12/25/2015,Christmas Day
12/31/2015,New Year
1/1/2016,New Year's Day
2/14/2016,Valentine's Day
3/27/2016,Easter
5/30/2016,Memorial Day
7/4/2016,4th of July
9/5/2016,Labor Day
11/24/2016,Thanksgiving Day
12/24/2016,Christmas Eve
12/25/2016,Christmas Day
12/31/2016,New Year
1/1/2017,New Year's Day
2/14/2017,Valentine's Day
4/16/2017,Easter
5/29/2017,Memorial Day
7/4/2017,4th of July
9/4/2017,Labor Day
11/23/2017,Thanksgiving Day
12/24/2017,Christmas Eve
12/25/2017,Christmas Day
12/31/2017,New Year
1/1/2018,New Year's Day
2/14/2018,Valentine's Day
4/1/2018,Easter
5/28/2018,Memorial Day
7/4/2018,4th of July
9/3/2018,Labor Day
11/22/2018,Thanksgiving Day
12/24/2018,Christmas Eve
12/25/2018,Christmas Day
12/31/2018,New Year
1/1/2019,New Year's Day
2/14/2019,Valentine's Day
4/21/2019,Easter
5/27/2019,Memorial Day
7/4/2019,4th of July
9/2/2019,Labor Day
11/28/2019,Thanksgiving Day
12/24/2019,Christmas Eve
12/25/2019,Christmas Day
12/31/2019,New Year
1/1/2020,New Year's Day
2/14/2020,Valentine's Day
4/12/2020,Easter
5/25/2020,Memorial Day
7/4/2020,4th of July
9/7/2020,Labor Day
11/26/2020,Thanksgiving Day
12/24/2020,Christmas Eve
12/25/2020,Christmas Day
12/31/2020,New Year
1/1/2021,New Year's Day
2/14/2021,Valentine's Day
4/4/2021,Easter
5/31/2021,Memorial Day
7/4/2021,4th of July
9/6/2021,Labor Day
11/25/2021,Thanksgiving Day
12/24/2021,Christmas Eve
12/25/2021,Christmas Day
12/31/2021,New Year
